SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
2372,,,Back drain damage ,,,,Civil,Back Drain Damage,low,,,,,,
2373,,,Trees. Bin. Is. Full,,,,Housekeeping,Bee-Hive Removal from common area ,low,,,,,,
2374,,,Urgent need water because water tank is empty,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2375,,,Tad. Bin. Is. Full,,,,Housekeeping,Garbage Removal,low,,,,,,
2376,,,Wash basin jam,,,,Housekeeping,Wash Basin Jam,high,,,,,,
2377,,,Floor damage,,,,Civil,Repairs to courtyard floor - Patch,low,,,,,,
2378,,,No water available urgent ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
2379,,,No water available ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2380,,,Electric board coming off,,,,Woodwork,Attending Safety & Security related jobs,high,,,,,,
2381,,,There is some internal water leakage from the overhead water tank. Due to which every day water shortage happens. Please look at this matter on an urgent basis.,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2382,,,Tube Light not working in Bedroom ,,,,Electrical,Tube light-Not glowing,high,,,,,,
2383,,,Bathroom door damaged. .both.need to be change,,,,Civil,Bathroom door easing,high,,,,,,
2384,,,Kitchen side wiring wire burnt,,,,Electrical,Wiring-Wire burnt,high,,,,,,
2385,,,Celling plaster dropping ,,,,Civil,Bathroom ceiling plaster,high,,,,,,
2386,,,Street light not working ,,,,Electrical,Street light-Not working,high,,,,,,
2387,,,The fan is not turning off.,,,,Electrical,Switch-Not working,low,,,,,,
2388,,,"White wash and painting, party shifted. SHO Telco PS",,,,Civil,New Allotment,low,,,,,,
2389,,,Plug point socket not working in garage,,,,Electrical,Socket-Not working,high,,,,,,
2390,,,Wall to be plastered ,,,,Civil,Bathroom wall plaster,high,,,,,,
2391,,,Fan is not ON & OFF by switch.,,,,Electrical,Switch-Not working,high,,,,,,
2392,,,"Please replace this existing fan ,too much sound when running 
No of times complaint in this fan ",,,,Electrical,Celing fan-Noise,high,,,,,,
2393,,,"Light Common area not working, heave life risk of snakes",,,,Electrical,Light-not working,high,,,,,,
2394,,,Block P-43 & P44 common area no light glowing.,,,,Electrical,No power-Complete block,high,,,,,,
2395,,,Bathroom Tap is broken ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2396,,,All light house hi not working,,,,Electrical,Light-not working,high,,,,,,
2397,,,Continuous water is leaking from bathroom water tap,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2398,,,Water leakage from bathroom flush switch,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2399,,,E.W.C seat cover broken,,,,Water and Plumbing Work,E.W.C. seat cover to be replaced,low,,,,,,
2400,,,Kitchen catchpit jam,,,,Housekeeping,Catchpit Jam,high,,,,,,
2401,,,Doctor'S Rest Room Wash Room Led Bulb not Working ,,,,Electrical,Light-not working,high,,,,,,
2402,,,OHC Main Gate Light Not Working ,,,,Electrical,Light-not working,high,,,,,,
2403,,,Bedroom A/C glass broken,,,,Woodwork,Broken glass panes  ,high,,,,,,
2404,,,"Sir, there is no Electric point for Geyser implantation in washroom of Guest room of D1/16 HUDCO Telco.

Kindly give one point for that 

Thanks",,,,Electrical,Gyser-Not woking,high,,,,,,
2405,,,Leakage from roof near entry gate,,,,Civil,Repairs to roof leakage,high,,,,,,
2406,,,Water is not avl in overhead tank,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2407,,,"Overflow of tank
",,,,Water and Plumbing Work,Over Flow From Over Head Tank,low,,,,,,
2408,,,Mcv is Tripping automatically and power is turning off,,,,Electrical,Light-not working,high,,,,,,
2409,,,Water overflow,,,,Civil,Repairs to chocked outlet pipe at Kitchen,high,,,,,,
2410,,,"During rain both room , dining space and kitchen leakage from multiple locations.",,,,Civil,Repairs to roof leakage,high,,,,,,
2411,,,Light Switch in one bedroom not working properly.,,,,Electrical,Switch-Not working,low,,,,,,
2412,,,Kitchen floor crack and damage from multiple area,,,,Civil,Kitchen floor repair,low,,,,,,
2413,,,"Electrical equipment getting failure,not tripping ,due to Earthing prblem",,,,Electrical,Earthing-no earthing in plug point,high,,,,,,
2414,,,Stair case light not working in ground floor ,,,,Electrical,Stair case light-Lamp fuse,low,,,,,,
2415,,,Glass self replacement ,,,,Water and Plumbing Work,Glass shelf repair / replacement,low,,,,,,
2416,,,Wall damage ,,,,Civil,Store Room brick wall repair,high,,,,,,
2417,,,Toilet glass fix,,,,Civil,Toilet-1 frosted glass fixing,high,,,,,,
2418,,,Ceiling damage ,,,,Civil,Dining Room ceiling plaster,high,,,,,,
2419,,,Wall damage ,,,,Civil,Bedroom -1 brick wall repair,high,,,,,,
2420,,,"Back side of quarter too many plants and grasses are there after rain. Need to cut in urgent basis.
Also need the spray of carbolic acid.",,,,Housekeeping,Bush Cutting Required,low,,,,,,
2421,,,There are excessive mosquitoes in the house.,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
2422,,,"Replace cistern, pipe damaged . Water pouring slowly and continuously leaking ",,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
2423,,,"Door is not closing
",,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and paint,low,,,,,,
2424,,,in a rainy season wall get wet from inside ,,,,Civil,Bedroom -1 brick wall repair,high,,,,,,
2425,,,Smelling ,,,,Housekeeping,Front Drain Jam,high,,,,,,
2426,,,The infected dog is inside the building P12 and not going to outside. About to byte any child and man,,,,Housekeeping,Bee-Hive Removal from common area ,low,,,,,,
2427,,,The Indian style toilet flush is not working properly ,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,low,,,,,,
2428,,,Door seal is not there.,,,,Civil,Door frames patch/copla/tiles/mosaic - Replacement and painting,low,,,,,,
2429,,,"Engineer,s,hall,,Roof,clean",,,,Civil,Repairs to roof leakage,high,,,,,,
2430,,,When my above person are used  that time water fall on my latrine ventilation area.,,,,Civil,overhead pipeline damage,high,,,,,,
2431,,,Water leaking from cistern pipe,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),low,,,,,,
2432,,,Need to remove unnecessary garage from in front of N141,,,,Housekeeping,Bee-Hive Removal from common area ,low,,,,,,
2433,,,Front door Handel not avaliable. ,,,,Woodwork,Bedroom-1 bow handle repair,low,,,,,,
2434,,,Windows wire net rusted and damaged ,,,,Woodwork,Drawing Room mosquito net fixing,high,,,,,,
2435,,,Windows wire net rusted and damaged ,,,,Woodwork,Bedroom-2 mosquito net fixing,low,,,,,,
2436,,,Pl remove iron pipe piece from floor (out side of N141),,,,Civil,Outhouse floor repair,low,,,,,,
2437,,,Very dirty smell is coming,,,,Housekeeping,Toilet Jam,high,,,,,,
2438,,,Urgent ,,,,Water and Plumbing Work,test sub 12,high,,,,,,
2439,,,Antitermite problem hai ,,,,Housekeeping,Antitermite Treatment,low,,,,,,
2440,,,Not closing properly ,,,,Woodwork,Bedroom-1 window shutter repair,high,,,,,,
2441,,,Locking Handle broken,,,,Steel Works,Repairs to back steel door,high,,,,,,
2442,,,Large amount of mosquito and other insects found in ADD materials building second floor cabin and Hall,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
2443,,,Kitchen Heater Power Point burn and not wrking,,,,Electrical,Power point-Not working,low,,,,,,
2444,,,Switch of the bathroom light is not working,,,,Electrical,Switch-Not working,low,,,,,,
2445,,,"Pipe damage, need to change ",,,,Civil,Repairs to kitchen sink,high,,,,,,
2446,,,Window is not locking ..,,,,Civil,Hinges of windows - Repair,low,,,,,,
2447,,,Little Flower School,,,,Housekeeping,"Bin full, requires lifting",low,,,,,,
2448,,,Bee hive remove,,,,Housekeeping,Bee-Hive Removal from common area ,high,,,,,,
2449,,,The Celing fan in the first room suddenly stopped working ,,,,Electrical,Celing fan-Not working,low,,,,,,
2450,,,"Kitchen ceiling chipping off.
Plasters falling down on gast top sink etc.",,,,Civil,Kitchen ceiling plaster,high,,,,,,
2451,,,Sangeet Samaj Telco  campus area all drain cleaning .,,,,Housekeeping,Back Drain Jam,low,,,,,,
2452,,,Sangee Samaj Telco  Drain Jam,,,,Housekeeping,Front Drain Jam,high,,,,,,
2453,,,Fan Switch Not Working,,,,Electrical,Switch-Not working,low,,,,,,
2454,,,Ceiling fan not working,,,,Electrical,Celing fan-Not working,high,,,,,,
2455,,,Damage,,,,Civil,Catchpit Damage,high,,,,,,
2456,,,Please repair the damaged approach path from road to gate. ,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
2457,,,"Pan replacement to be done ,  Pan damage by falling of ceiling plaster ",,,,Civil,Replacement of unnaturally damaged OWC pan,high,,,,,,
2458,,, Baranda Pelar Repair,,,,Civil,Miscellaneous Work,high,,,,,,
2459,,,Fan noisy,,,,Electrical,Celing fan-Noise,high,,,,,,
2460,,,"Improper function of Stopping Valve in Water Cooler of CTR,Bay No-2",,,,Water and Plumbing Work,Improper function of Stop cock,high,,,,,,
2461,,,Call bell of main gate and out house not working,,,,Electrical,Switch-Not working,high,,,,,,
2462,,,Bathroom ceiling 2 area very big Crack any time fall this,,,,Civil,Bathroom ceiling plaster,high,,,,,,
2463,,,Dining room RCC frame totally damage,,,,Civil,Dining Room window frame repair,high,,,,,,
2464,,,Latrin and bathroom ceiling very big crack 2and3 places,,,,Civil,Bathroom ceiling plaster,low,,,,,,
2465,,,Flash tank leakage,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2466,,,Courtyard floor damged,,,,Civil,Repairs to courtyard floor - Patch,low,,,,,,
2467,,,Flush not working in toilet room,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2468,,,Water logging in rain inside permises,,,,Civil,Repairs to pathway inside bungalows,high,,,,,,
2469,,,Wash basin pipe is leakage and water getting overflow. Need urgent repair.,,,,Water and Plumbing Work,Wash Basin to be checked,low,,,,,,
2470,,,The lights are not on.,,,,Electrical,Light-not working,high,,,,,,
2471,,,Very much generation of spider web and small ant . etc..pls do the treatment properly ,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
2472,,,Second entrance door jam,,,,Woodwork,Bedroom-1 door easing,high,,,,,,
2473,,,Slow water flow ,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
2474,,,Replacement of OWC pan naturally damaged,,,,Civil,Replacement of OWC pan naturally damaged,high,,,,,,
2475,,,Street light not Working,,,,Electrical,Street light-block light not working,low,,,,,,
2476,,,Kitchen entery floor damage ,,,,Civil,Kitchen floor repair,low,,,,,,
2477,,,Balcony drain slope correction,,,,Civil,Back Drain Damage,low,,,,,,
2478,,,Balcony drain slope issue.,,,,Civil,Back Drain Damage,low,,,,,,
2479,,,OT emergency door is jam not able to open ,,,,Woodwork,Attending Safety & Security related jobs,high,,,,,,
2480,,,Back side gate pillar kabja loose plz urgent repair,,,,Civil,Repairs to gate pillar,low,,,,,,
2481,,,Boundaries wall back side repair,,,,Civil,Outhouse brick wall repair,high,,,,,,
2482,,,Light not working ,,,,Electrical,Earthing-no earthing in plug point,high,,,,,,
2483,,,Seems to be top floor is vacant and may be water flow chocked of top floor balcony. Need to clean balcony of top floor P45/16 leading to damp in P45/12,,,,Civil,Repairs to wall seepage other than bathroom & latrine,low,,,,,,
2484,,,small grill gate got rusted and damaged.,,,,Steel Works,Grill - Repair,high,,,,,,
2485,,,"Water leakage from water tank, may lead in tank damage. ",,,,Civil,Miscellaneous Work,high,,,,,,
2486,,,Floor damage of Aangan also,,,,Civil,Miscellaneous Work,high,,,,,,
2487,,,Front verandah floor damage,,,,Civil,Misc. requests,high,,,,,,
2488,,,Bathroom floor damage,,,,Civil,Bathroom floor repair,high,,,,,,
2489,,,Need to spray chemical,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
2490,,,No drinking water please supply water ,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
2491,,,Repairs to Main Entrance door,,,,Woodwork,Repairs to Main Entrance door,high,,,,,,
2492,,,"Hall 1st fan not working from starting
1st bedroom fan not working 
2nd bedroom fan not working",,,,Electrical,Celing fan-Noise,high,,,,,,
2493,,,"Western toilet flush water not work, 
Indian toilet flush pipe broken ",,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
2494,,,Door to be changed,,,,Woodwork,Wall almirah - Replacement,high,,,,,,
2495,,,Electrical sockets not working burnt,,,,Electrical,AC power point-AC Switch burnt,high,,,,,,
2496,,,Hall tube light fuse not working,,,,Electrical,Light-not working,high,,,,,,
2497,,,Kichen room wash Basin very dimage ,,,,Civil,Miscellaneous Work,low,,,,,,
2498,,,Please change switch immediately it not working properly ,,,,Electrical,Switch-Not working,high,,,,,,
2499,,,Room 131. Corridor.  2 nos tublight not working,,,,Electrical,Corridor/porch light-Not working,high,,,,,,
2500,,,Antitermite problem in home ,,,,Housekeeping,Antitermite Treatment,high,,,,,,
2501,,,Staircase light at 3rd floor not glowing.,,,,Electrical,Light-not working,low,,,,,,
2502,,,Dyeing window frame broken ,,,,Woodwork,Dining Room window glass pane fixing,high,,,,,,
2503,,,Pani bhut kam aa rha toilet me,,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
2504,,,Draing jaam,,,,Housekeeping,Front Drain Jam,low,,,,,,
2505,,,N-44/2 Tap broken water flowing continuously please resolve this problem quickly yesterday our whole block's (water tank) get empty cuz of tap broke,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2506,,,Door ko band aur kholne me problem ho rhe h,,,,Woodwork,Misc. requests,low,,,,,,
2507,,,"Power getting tripped while lighting in rain.  
Also while AC gets on
",,,,Electrical,Other Misc.Request - old cases,low,,,,,,
2508,,,Bedroom.ceiling fan not working,,,,Electrical,Celing fan-Not working,high,,,,,,
2509,,,Outlet of shower tub pipe jam,,,,Housekeeping,Bathroom Jam,low,,,,,,
2510,,,9204705073,,,,Civil,Outhouse window frame repair,low,,,,,,
2511,,,Bathroom wall repair,,,,Civil,Bathroom brick wall repair,high,,,,,,
2512,,,Kitchen floor repair,,,,Civil,Miscellaneous Work,high,,,,,,
2513,,,Wash Basin Pipe has major leakage leading no water in wash basin tap,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,low,,,,,,
2514,,,K-5 section Room no-5 back side calary tube light not work,,,,Electrical,Light-not working,low,,,,,,
2515,,,Geyser water tap water not coming choked ,,,,Civil,Repairs to choked outlet pipe at Bathroom,high,,,,,,
2516,,,False ceiling  damged 7 nos in entrance area,,,,Civil,False Ceiling Repair,high,,,,,,
2517,,,Bed Room Window Glass Broken need to replace ,,,,Steel Works,Repairs to steel window,high,,,,,,
2518,,,Support Rod was damaged ,,,,Steel Works,MS Gate - Repair,low,,,,,,
2519,,,Main Gate Alignment Out very hard to close need repair & alignment ,,,,Steel Works,Repairs to gate.,high,,,,,,
2520,,,Full house Antitermite treatment ,,,,Housekeeping,Antitermite Treatment,low,,,,,,
2521,,,White-wash and painting of K214R25.,,,,Civil,Miscellaneous Work,high,,,,,,
2522,,,3 pin not working and geating short,,,,Electrical,Power point-Broken or loose connection,low,,,,,,
2523,,,"As per the application received from TAD IWC to change with applicable charges.
Need to replace IWC at M-61/1",,,,Civil,Replacement of unnaturally damaged OWC pan,high,,,,,,
2524,,,Window fram repair ,,,,Woodwork,Bedroom-1 window frame repair,high,,,,,,
2525,,,"Carpentry Room - 01 Halogen Light
Fabrication Room - 04 Tubelight",,,,Electrical,Light-not working,low,,,,,,
2526,,,Roof leakage in first room,,,,Civil,Repairs to roof leakage,high,,,,,,
2527,,,Bathroom door frame damage,,,,Civil,Bathroom door frame repair,low,,,,,,
2528,,,"Having issues with the size of the toilet, please replace it with normal size toilet set.",,,,Civil,Miscellaneous Work,high,,,,,,
2529,,,Kitchen wash basin sink pipe not working ,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
2530,,,Water Tap and drainage pipe of kitchen sink to be repaired or replaced ,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
2531,,,TELCO HOUSE Kinchen area Rat Medicne,,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
